word,sentiment,category
symbolic,vices,concreteness
transnational,vices,concreteness
unattributed,vices,concreteness
unchallenged,vices,concreteness
unchanging,vices,concreteness
uncharitable,vices,concreteness
unchecked,vices,concreteness
unconquerable,vices,concreteness
uncontrollable,vices,concreteness
undated,vices,concreteness
unexamined,vices,concreteness
unnumbered,vices,concreteness
unobtrusive,vices,concreteness
unpreserved,vices,concreteness
unrecognizable,vices,concreteness
unsightly,vices,concreteness
unsolicited,vices,concreteness
untrue,vices,concreteness
varying,vices,concreteness
wholehearted,vices,concreteness
wicked,vices,concreteness
affordable,vices,concreteness
appetizing,vices,concreteness
biographical,vices,concreteness
blessed,vices,concreteness
cultural,vices,concreteness
dazzling,vices,concreteness
devastating,vices,concreteness
discomforting,vices,concreteness
educational,vices,concreteness
exasperated,vices,concreteness
faulty,vices,concreteness
frantic,vices,concreteness
immediate,vices,concreteness
incriminating,vices,concreteness
intentional,vices,concreteness
invasive,vices,concreteness
irritating,vices,concreteness
manageable,vices,concreteness
mannered,vices,concreteness
medicinal,vices,concreteness
mournful,vices,concreteness
obsolete,vices,concreteness
offensive,vices,concreteness
personable,vices,concreteness
prehistoric,vices,concreteness
radical,vices,concreteness
serious,vices,concreteness
thriving,vices,concreteness
tremendous,vices,concreteness
trivial,vices,concreteness
uncensored,vices,concreteness
undeliverable,vices,concreteness
unsatisfactory,vices,concreteness
unsophisticated,vices,concreteness
untelevised,vices,concreteness
useable,vices,concreteness
vast,vices,concreteness
wilder,vices,concreteness
blacker,vices,concreteness
cutesy,vices,concreteness
errorless,vices,concreteness
focal,vices,concreteness
lovesick,vices,concreteness
petty,vices,concreteness
trite,vices,concreteness
unharnessed,vices,concreteness
acquisitive,vices,concreteness
antidemocratic,vices,concreteness
authoritarian,vices,concreteness
awash,vices,concreteness
blatant,vices,concreteness
chaotic,vices,concreteness
confidential,vices,concreteness
contributory,vices,concreteness
convergent,vices,concreteness
cordial,vices,concreteness
crotchety,vices,concreteness
crucial,vices,concreteness
deployable,vices,concreteness
destitute,vices,concreteness
divisive,vices,concreteness
elemental,vices,concreteness
finer,vices,concreteness
flighty,vices,concreteness
fundamentalist,vices,concreteness
gratifying,vices,concreteness
heartening,vices,concreteness
holistic,vices,concreteness
immaterial,vices,concreteness
innocuous,vices,concreteness
insurrectional,vices,concreteness
meager,vices,concreteness
meaner,vices,concreteness
melodramatic,vices,concreteness
misguided,vices,concreteness
pedantic,vices,concreteness
postmodern,vices,concreteness
provable,vices,concreteness
redeemable,vices,concreteness
schizoid,vices,concreteness
stimulatory,vices,concreteness
tactical,vices,concreteness
technological,vices,concreteness
