word,category,sentiment
hurting,harm,vices
impair,harm,vices
impaired,harm,vices
impairment,harm,vices
kill,harm,vices
killer,harm,vices
killing,harm,vices
peace,harm,virtues
peaceable,harm,virtues
peaceably,harm,virtues
peacefully,harm,virtues
peacekeeper,harm,virtues
peacekeeping,harm,virtues
peacemak,harm,virtues
peacemaker,harm,virtues
peacetime,harm,virtues
protect,harm,virtues
protected,harm,virtues
protection,harm,virtues
protectionism,harm,virtues
protectionist,harm,virtues
protective,harm,virtues
protector,harm,virtues
ravage,harm,vices
safe,harm,virtues
safeguard,harm,virtues
safekeeping,harm,virtues
safely,harm,virtues
safer,harm,virtues
safest,harm,virtues
secure,harm,virtues
secured,harm,virtues
securely,harm,virtues
security,harm,virtues
shelter,harm,virtues
sheltered,harm,virtues
shield,harm,virtues
shielded,harm,virtues
shielding,harm,virtues
spurn,harm,vices
stomp,harm,vices
stomping,harm,vices
suffer,harm,vices
suffered,harm,vices
sufferer,harm,vices
suffering,harm,vices
sympathy,harm,virtues
violence,harm,vices
violent,harm,vices
violently,harm,vices
war,harm,vices
warlike,harm,vices
warlord,harm,vices
wound,harm,vices
wounded,harm,vices
ally,ingroup,virtues
allyn,ingroup,virtues
cadre,ingroup,virtues
clique,ingroup,virtues
cohort,ingroup,virtues
collective,ingroup,virtues
collectively,ingroup,virtues
collectivism,ingroup,virtues
collectivist,ingroup,virtues
communal,ingroup,virtues
commune,ingroup,virtues
communism,ingroup,virtues
communist,ingroup,virtues
communitarian,ingroup,virtues
communiti,ingroup,virtues
community,ingroup,virtues
comrade,ingroup,virtues
deceive,ingroup,vices
devote,ingroup,virtues
devoted,ingroup,virtues
devotee,ingroup,virtues
devotion,ingroup,virtues
devotional,ingroup,virtues
enemi,ingroup,vices
enemy,ingroup,vices
familial,ingroup,virtues
family,ingroup,virtues
fellow,ingroup,virtues
fellowship,ingroup,virtues
foreign,ingroup,vices
foreigner,ingroup,vices
group,ingroup,virtues
groupie,ingroup,virtues
grouping,ingroup,virtues
groupthink,ingroup,virtues
guild,ingroup,virtues
homeland,ingroup,virtues
immigrant,ingroup,vices
immigrate,ingroup,vices
immigration,ingroup,vices
imposter,ingroup,vices
individual,ingroup,vices
individualism,ingroup,vices
individualist,ingroup,vices
individualistic,ingroup,vices
individuality,ingroup,vices
individualize,ingroup,vices
individualized,ingroup,vices
individually,ingroup,vices
insider,ingroup,virtues
jilt,ingroup,vices
joint,ingroup,virtues
jointly,ingroup,virtues
member,ingroup,virtues
membership,ingroup,virtues
miscreant,ingroup,vices
nation,ingroup,virtues
national,ingroup,virtues
nationale,ingroup,virtues
nationalism,ingroup,virtues
nationalist,ingroup,virtues
nationalistic,ingroup,virtues
nationality,ingroup,virtues
nationalization,ingroup,virtues
nationalize,ingroup,virtues
nationally,ingroup,virtues
nationhood,ingroup,virtues
nationwide,ingroup,virtues
patriot,ingroup,virtues
patriotic,ingroup,virtues
patriotism,ingroup,virtues
renegade,ingroup,vices
sequester,ingroup,vices
solidarity,ingroup,virtues
spy,ingroup,vices
spycraft,ingroup,vices
spying,ingroup,vices
spyware,ingroup,vices
terrorise,ingroup,vices
terrorism,ingroup,vices
terrorist,ingroup,vices
terroristic,ingroup,vices
together,ingroup,virtues
togetherness,ingroup,virtues
unison,ingroup,virtues
unite,ingroup,virtues
united,ingroup,virtues
uniter,ingroup,virtues
abstention,purity,virtues
abstinence,purity,virtues
adulterer,purity,vices
adulterous,purity,vices
adultery,purity,vices
austerity,purity,virtues
blemish,purity,vices
celibacy,purity,virtues
celibate,purity,virtues
chaste,purity,virtues
chastise,purity,virtues
chastity,purity,virtues
church,purity,virtues
churchgo,purity,virtues
churchgoer,purity,virtues
clean,purity,virtues
cleaner,purity,virtues
cleaning,purity,virtues
cleanliness,purity,virtues
cleanly,purity,virtues
cleanse,purity,virtues
cleansing,purity,virtues
cleanup,purity,virtues
contagion,purity,vices
contagious,purity,vices
debase,purity,vices
debauchery,purity,vices
decency,purity,virtues
decent,purity,virtues
decently,purity,virtues
decentralize,purity,virtues
decentralized,purity,virtues
defile,purity,vices
deprave,purity,vices
depraved,purity,vices
depravity,purity,vices
desecrate,purity,vices
desecration,purity,vices
dirt,purity,vices
dirtbag,purity,vices
dirty,purity,vices
disease,purity,vices
diseased,purity,vices
disgust,purity,vices
disgusted,purity,vices
disgusting,purity,vices
exploitation,purity,vices
exploitative,purity,vices
filth,purity,vices
filthy,purity,vices
holiness,purity,virtues
holy,purity,virtues
immaculate,purity,virtues
immaculately,purity,virtues
indecency,purity,vices
indecent,purity,vices
innocent,purity,virtues
innocently,purity,virtues
integrity,purity,virtues
intemperate,purity,vices
lax,purity,vices
laxalt,purity,vices
lewd,purity,vices
maiden,purity,virtues
modesty,purity,virtues
obscene,purity,vices
obscenely,purity,vices
obscenity,purity,vices
pervert,purity,vices
perverted,purity,vices
piety,purity,virtues
pious,purity,virtues
pristine,purity,virtues
profane,purity,vices
profanity,purity,vices
profligate,purity,vices
promiscuity,purity,vices
promiscuous,purity,vices
prostitute,purity,vices
prostitution,purity,vices
pure,purity,virtues
purely,purity,virtues
purer,purity,virtues
purest,purity,virtues
purity,purity,virtues
refined,purity,virtues
repulse,purity,vices
repulsive,purity,vices
sacred,purity,virtues
sacredness,purity,virtues
saint,purity,virtues
sainthood,purity,virtues
saintly,purity,virtues
sick,purity,vices
sicken,purity,vices
sickening,purity,vices
sicker,purity,vices
sickle,purity,vices
sickly,purity,vices
sickness,purity,vices
sin,purity,vices
sinful,purity,vices
sinister,purity,vices
slut,purity,vices
slutty,purity,vices
stain,purity,vices
sterile,purity,virtues
sterilization,purity,virtues
sterilize,purity,virtues
taint,purity,vices
tainted,purity,vices
tarnish,purity,vices
tramp,purity,vices
trashy,purity,vices
unadulterated,purity,virtues
unclean,purity,vices
upright,purity,virtues
virgin,purity,virtues
virginity,purity,virtues
virtuous,purity,virtues
wanton,purity,vices
wantonly,purity,vices
wholesome,purity,virtues
whore,purity,vices
wicked,purity,virtues
wickedly,purity,virtues
wickedness,purity,virtues
wretched,purity,virtues
mayor,authority,virtues
president,authority,virtues
decision,authority,virtues
enforce,authority,virtues
administration,authority,virtues
mandate,authority,virtues
condemn,authority,virtues
urge,authority,virtues
regulation,authority,virtues
detain,authority,vices
criminal,authority,vices
violate,authority,vices
wash,purity,virtues
disinfect,purity,virtues
sanitize,purity,virtues
contamination,purity,vices
contaminate,purity,vices
germ,purity,vices
infection,purity,vices
